"ID","TYPE","A",
"0","ERROR","I'm sorry, I can't understand you."
"1","GREETING","Hello, what can I help you?"
"2","GREETING","I am Rep-Flow, I can help you reproduce an mobile app bug, please tell me the bug name."
"3","NEXT-STEP","The next step is to tap the following part on the screen."
"4","CURRENT-STATE","Your current step is as follows."
"5","HELP","@override"
"6","DEVIATION","Sorry, it seems that you have deviated from the guidance path. I can't find any matching step to reproduce the bug."
"7","MISSING","Sorry, it seems that you have accessed an unrecorded page and are probably off the planned path. The last recorded step is as follows, please go back to the last recorded step and try again."
"8","SORRY","I'm sorry, I'm a simple chatbot, which means that I can only help you reproduce the bug according to the recorded steps. If you want to reproduce the bug in other ways, please try again."
"9","CONT","Please tell me the bug number, e.g. 114514."
"-1","HINT","Yes, it is correct."

